id,srouce,name,brand,img-src,latest-price,retail-price,sale
sku.240602648,https://phongvu.vn/laptop-hp-15s-15-fd1058tu-9z2x6pa-ultra-7-155h-bac--s240602648,Laptop AI HP 15s 15-fd1058TU - 9Z2X6PA (Ultra 7-155H/RAM 16GB/Onboard/1TB SSD/Windows 11),HP,https://lh3.googleusercontent.com/vFo1LvTHeeaVPOEoKk_VYMO75JgwYbnlG8NYaGWg21xdVlHsvWMT8QcsLpw72I12MJ4L7r_F8MuNWKU-J88MYh0S2x_E2Pp4=w500-rw,24.590.000,25.490.000,3.531
sku.240602652,https://phongvu.vn/laptop-hp-envy-x360-14-fa0046au-a19bnpa-amd-ryzen-7-8840hs-bac--s240602652,Laptop AI HP Envy x360 14-fa0046AU - A19BNPA (Ryzen 7 8840HS/RAM 32GB/Onboard/512GB SSD/Windows 11),HP,https://lh3.googleusercontent.com/0JDFCOiiRa7shsViTVdqI8zEB3a6u799kG8sNEwQ4rnUaYwIyfNhWPfemMpQDRBsW7TgTPlHhIbkcXbAH3QNND6tcjl3sy8=w500-rw,30.890.000,33.790.000,8.582
sku.240602661,https://phongvu.vn/laptop-hp-victus-16-s0136ax-9q984pa-amd-ryzen-5-7640hs-bac--s240602661,Laptop gaming HP Victus 16-s0136AX - 9Q984PA (Ryzen 5 7640HS/RAM 32GB/GeForce RTX 3050/512GB SSD/ Windows 11),HP,https://lh3.googleusercontent.com/8BGqvMJ646z01j3f4dvKs1kxtCMLouVMOJwJoZVVjY_cW6Lt8As5SqqrItYpi1POnFHig-_IXSym86Yt4V6_5NsDEmu8y92_=w500-rw,26.390.000,33.790.000,21.9
sku.240602775,https://phongvu.vn/laptop-hp-victus-16-r0231tx-9q982pa-i5-13500h--s240602775,Laptop gaming HP Victus 16-r0231TX - 9Q982PA (i5-13500H/RAM 32GB/GeForce RTX 3050/512GB SSD/ Windows 11),HP,https://lh3.googleusercontent.com/BvKg9-hPtAug3IFu7qMmN2o_ih6y5yQkL5Oo1AifE-gcz_2J2W0_YGjA0WQQHajdMMTDDFKJGIwgaOFEXGtMzyivH3pwiw=w500-rw,29.390.000,31.690.000,7.258
sku.240602783,https://phongvu.vn/laptop-hp-pavilion-x360-14-ek2013tu-9z2v4pa-core-7-150u--s240602783,Laptop AI HP Pavilion X360 14-ek2013TU - 9Z2V4PA (Core 7 150U/RAM 16GB/Onboard/512GB SSD/Windows 11),HP,https://lh3.googleusercontent.com/qhKd0Fywy85JpfyWVx1-ruaQqsy-ekakyiU5XAXDwc4xTXDdj2C3EApKdvWBC1Aiyhb6Y4H-w4R1_uWXM4if38mlalvjgrE=w500-rw,25.990.000,31.290.000,16.938
sku.240702617,https://phongvu.vn/laptop-dell-xps13-9340-hxrgt-ultra-7-155h-bac--s240702617,Laptop AI Dell XPS13 9340 - HXRGT (Ultra 7-155H/RAM 16GB/Onboard/1TB SSD/Windows 11 + Office),Dell,https://lh3.googleusercontent.com/4Wtvk-n2VL1eLGIa4EP_rcWeIofdy8yTgHwMszBoUroyreZ-OchA4p1Mk_4-rx8AI4GhbXukJJTFEWisU7oHqn9a6DQ71VkK=w500-rw,56.090.000,60.990.000,8.034
sku.240706417,https://phongvu.vn/may-tinh-xach-tay-macbook-air-13-6-m2-8-core-cpu-10-core-gpu-16gb-256gb-ssd-30w-silver-z15w005j9--s240706417,"Apple MacBook Air M2 13.6"" (16GB/256GB SSD)",APPLE,https://lh3.googleusercontent.com/ZdJIvp8TtO056fjuwKicXSiunJ2dsqYmxLf7Y3VlU2xNjuDY3_MxfEy9wwESytDsVd3zoIEq9o6IPbbSk51T4KpU3UCF2Gw=w500-rw,28.990.000,32.690.000,11.318
sku.240802643,https://phongvu.vn/laptop-acer-nitro-v-16-propanel-anv16-41-r36y--s240802643,Laptop ACER Nitro V 16 ProPanel ANV16-41-R36Y (Ryzen 7 8845HS/RAM 16GB/GeForce RTX 4050/512GB SSD/ Windows 11),ACER,https://lh3.googleusercontent.com/w7x2fqUnZAoaPQyQGSwScvzG8UJgXtvb-0vt79N-bbfai3Sta6p6absCoK3cl8mSlsUBkSPlX__MTPuKN0M4ClKhXWmSkUKv=w500-rw,30.590.000,31.990.000,4.376
sku.240903020,https://phongvu.vn/laptop-acer-nitro-5-tiger-an515-58-773y-i7-12700h-nh-qfksv-001-den--s240903020,Laptop ACER Nitro 5 Tiger AN515-58-773Y (i7-12700H/RAM 8GB/GeForce RTX 3050Ti/512GB SSD/ Windows 11),ACER,https://lh3.googleusercontent.com/wdBF88SQM5ZPnU2Zp80micJZ72yJxF-ZcGnYsoj2aMPLf5E3wcJXgFLwjm3PWJAVFoiOIfwrpWJQ7oPURbjP2UQLgcvPLFOr=w500-rw,22.990.000,33.790.000,31.962
sku.211208142,https://phongvu.vn/asus-vivobook-pro-m3401qa-km006w--s211208142,Laptop Asus VivoBook Pro M3401QA-KM006W (AMD Ryzen 5 5600H) (Bạc),ASUS,https://lh3.googleusercontent.com/PvhoG0yOZ-r3QX2ZemcH5qHdp_LhI1yKhQSuIvoNF2-5sL9D0tdHhBQubuwtVmTqY-SJBkjIS-5nUEhj7ejHacFwWu9eZ4vK=w500-rw,17.990.000,18.990.000,5.266
