id,source,name,brand,img-src,latest-price,retail-price,sale,available
No.00907595,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-5-14imh9-ultra-5-125h,"Laptop Lenovo IdeaPad Slim 5 14IMH9 Ultra 5 125H/AI/16GB/512GB/14""WUXGA/OLED/Win 11",Lenovo,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_4_17_638489709057113947_lenovo-ideapad-slim-5-14imh9-ultra-5-125h-5.jpg,20.490.000,22.690.000,10,True
No.00907888,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-stealth-16-ai-studio-a1vgg-089vn-ultra-9-185h,"Laptop MSI Gaming Stealth 16 AI Studio A1VGG-089VN Ultra 9 185H/AI/32GB/2TB/16""QHD+/RTX4070_8GB/Win11",Msi,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_5_4_638504150405101979_A1VGG-089VN.jpg,59.990.000,64.990.000,8,False
No.00907890,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gp68hx-12vh-070vn-i9-12900hx,"Laptop MSI Gaming GP68HX 12VH-070VN i9-12900HX/AI/16GB/1TB/16"" FHD+/RTX4080_12GB/Win11_Balo",Msi,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_5_4_638504157261843431_12VH-070VN.jpg,46.990.000,61.990.000,24,False
No.00907107,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq5228tu-i3-1215u,"Laptop HP 15s-fq5228TU i3 1215U/8GB/512GB/15.6""FHD/Win11",Hp,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2023_8_28_638288273850727579_hp-15s-fq5230tu-i3-1215u-xanh-2.jpg,0,0,0,False
No.00906628,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-1-14alc7-r7-5700u,"Laptop Lenovo Ideapad 1 - 14ALC7 R7 5700U/16GB/512GB/14.0"" FHD/Win 11",Lenovo,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_2_22_638442134030251119_lenovo-ideapad-1-14alc7-r7-5700u-3.jpg,12.690.000,14.490.000,12,True
No.00906638,https://fptshop.com.vn/may-tinh-xach-tay/laptop-dell-inspiron-15-n3520-i5-1235u1-n5i5011w1,"Laptop Dell Inspiron 15 N3520 i5 1235U/16GB/512GB/15.6""FHD/Win11/Office HS21_N5I5011W1",Dell,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2022_10_11_638010988638227002_dell-inspiron-15-n3520-den-1.jpg,16.490.000,17.290.000,5,True
No.00912023,https://fptshop.com.vn/may-tinh-xach-tay/hp-envy-x360-14-fc01062tu-core-ultra-5-125u-ay8x1pa,Laptop HP Envy x360 14-fc0162TU Core Ultra 5-125U/AI/16GB/512GB/14'' Touch 2.8K OLED/Pen/Win11/Office HS21,Hp,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/hp_envy_x360_14_silver_1_2084f8665b.png,27.790.000,29.890.000,7,True
No.00910748,https://fptshop.com.vn/may-tinh-xach-tay/dell-latitude-l3540-i5-1235u-42ltl354001,"Laptop Dell Latitude L3540 i5 1235U/16GB/512GB/15.6""FHD/Win11",Dell,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/dell_latitude_15_3540_9950b79986.png,16.990.000,17.990.000,6,True
No.00910890,https://fptshop.com.vn/may-tinh-xach-tay/hp-250-g10-i7-1355u-a06ffpt,"Laptop HP 250 G10 i7-1355U/16GB/512GB/15.6"" FHD/Win11_A06FFPT",Hp,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/hp_250_g10_silver_c972695f92.png,0,0,0,False
No.00911679,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3520-i5-1235u-n5i5203w1,"Laptop Dell Inspiron N3520 i5 1235U/16GB/512GB/15.6""FHD/Win11/Office HS21",Dell,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/dell_inspiron_15_3520_black_d3c2a2c3c6.png,16.490.000,17.290.000,5,True
No.00909890,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-katana15-b13vfk-2099vn-i7-13620h,"Laptop MSI Gaming Katana15 B13VFK-2099VN i7 13620H/AI/32GB/1TB/15.6""FHD/RTX4060 8GB/W11_Balo",Msi,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/msi_katana_15_b13_60fefcc66a.png,29.390.000,33.990.000,14,True
No.00908402,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-s16-oled-s5606ma-mx051w-intel-core-ultra-7-155h,"Laptop Asus Vivobook S16 OLED S5606MA-MX051W Intel Core Ultra 7-155H/AI/16GB/512GB/16"" 3.2K/Arc Graphics/Win11",Asus,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_5_13_638512093345258725_S5606MA-MX051W.jpg,26.890.000,29.990.000,10,True
No.00907886,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-14-oled-ux3405ma-pp475w-intel-core-ultra-u9-185h,Laptop Asus Zenbook 14 OLED UX3405MA-PP475W Intel Core Ultra U9-185H/AI/32GB/1TB/14'' 3K/Intel Arc Graphics/Win11,Asus,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_5_4_638504136983053281_UX3405MA-PP475W.jpg,33.490.000,36.990.000,9,False
No.00907525,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-14-x1404za-nk389w-i7-1255u,Laptop Asus Vivobook 14 X1404ZA-NK389W i7 1255U/16GB/512GB/14' FHD/Win11,Asus,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_4_8_638481856122444347_asus-vivobook-14-x1404za-nk389w-i7-1255u-5.jpg,0,0,0,False
No.00906629,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-flex-5-14alc7-r7-5700u,"Laptop Lenovo Ideapad Flex 5 14ALC7 R7 5700U/16GB/512GB/14.0""WUXGA_Touch/Bút/Win 11",Lenovo,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_2_22_638442187982607862_lenovo-ideapad-flex-5-14alc7-xam-nhat-6.jpg,0,0,0,False
No.00906612,https://fptshop.com.vn/may-tinh-xach-tay/asus-rog-strix-16-gaming-g634jzr-nm009w-i9-14900hx,Laptop Asus ROG Strix 16 Gaming G634JZR-NM009W i9 14900HX/AI/64GB/2TB/16' 240Hz/Nvidia RTX4080 12GB/Win11,Asus,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_2_16_638436955558636734_asus-rog-strix-16-gaming-g634jzr-nm009w-i9-14900hx-2.jpg,0,0,0,False
No.00906613,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-a15-fa507nv-lp110w-r5-7535hs,Laptop Asus TUF Gaming A15 FA507NV-LP110W R5 7535HS/AI/16GB/5/512GB/15.6' 144Hz/Nvidia RTX4060 8GB/Win11,Asus,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_2_16_638436992456366721_asus-tuf-gaming-a15-fa507nv-lp110w-r5-7535hs-2.jpg,24.490.000,30.490.000,20,False
No.00906627,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-loq-15irx9-i7-13650hx-83dv000nvn,"Laptop Lenovo Gaming LOQ - 15IRX9 i7 13650HX/AI/16GB/512GB/15.6""FHD/RTX4050 6GB/Win11",Lenovo,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_2_15_638435927047171103_lenovo-gaming-loq-15iax-9-i5-12450hx-led-trang-1.jpg,30.390.000,31.990.000,5,False
No.00906632,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkbook-14-g6-irl-i5-13500h,"Laptop Lenovo ThinkBook 14 G6 IRL i5-13500H/16GB/512GB/14""WUXGA/Win11",Lenovo,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_2_21_638441349664828683_lenovo-thinkbook-14-G6-irl-i5-13500h-5.jpg,17.490.000,19.990.000,13,False
No.00910053,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-sword-16-hx-b14vfkg-460vn-i7-14650hx,"Laptop MSI Gaming Sword 16 HX B14VFKG-460VN i7 14650HX/AI/16GB/1TB/16""QHĐ+/RTX4060 8GB/Win11_Balo",Msi,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/msi_sword_16_hx_b14_4ea121217e.png,37.190.000,39.990.000,7,False
No.00910749,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-5-tiger-gaming-an515-58-773y-i7-12700h,"Laptop Acer Nitro 5 Tiger Gaming AN515-58-773Y i7 12700H/16GB/512GB/15.6""FHD/NVIDIA GeForce RTX3050Ti 4GB/Win11",Acer,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/acer_nitro_5_tiger_an515_58_2a10078adb.png,22.990.000,33.790.000,32,True
